wl,n
0.19077,1.017
0.19136,1.020
0.19195,1.023
0.19255,1.026
0.19315,1.029
0.19375,1.032
0.19436,1.035
0.19497,1.038
0.19558,1.041
0.19620,1.044
0.19683,1.047
0.19745,1.050
0.19808,1.054
0.19872,1.057
0.19936,1.060
0.20000,1.063
0.20065,1.066
0.20130,1.070
0.20195,1.073
0.20261,1.076
0.20328,1.080
0.20395,1.083
0.20462,1.086
0.20530,1.090
0.20598,1.093
0.20667,1.097
0.20736,1.100
0.20805,1.104
0.20875,1.107
0.20946,1.111
0.21017,1.114
0.21088,1.118
0.21160,1.122
0.21233,1.125
0.21306,1.129
0.21379,1.133
0.21453,1.136
0.21528,1.140
0.21603,1.144
0.21678,1.148
0.21754,1.152
0.21831,1.155
0.21908,1.159
0.21986,1.163
0.22064,1.167
0.22143,1.171
0.22222,1.175
0.22302,1.179
0.22383,1.183
0.22464,1.187
0.22545,1.191
0.22628,1.195
0.22711,1.199
0.22794,1.203
0.22878,1.207
0.22963,1.212
0.23048,1.216
0.23134,1.220
0.23221,1.224
0.23308,1.228
0.23396,1.233
0.23485,1.237
0.23574,1.241
0.23664,1.246
0.23755,1.250
0.23846,1.255
0.23938,1.259
0.24031,1.264
0.24125,1.268
0.24219,1.273
0.24314,1.277
0.24409,1.282
0.24506,1.287
0.24603,1.291
0.24701,1.296
0.24800,1.301
0.24900,1.306
0.25000,1.311
0.25101,1.316
0.25203,1.321
0.25306,1.326
0.25410,1.331
0.25514,1.336
0.25620,1.341
0.25726,1.346
0.25833,1.352
0.25941,1.357
0.26050,1.362
0.26160,1.368
0.26271,1.373
0.26383,1.379
0.26496,1.385
0.26609,1.391
0.26724,1.397
0.26840,1.403
0.26957,1.409
0.27074,1.415
0.27193,1.421
0.27313,1.428
0.27434,1.434
0.27556,1.441
0.27679,1.448
0.27803,1.455
0.27928,1.462
0.28054,1.469
0.28182,1.476
0.28311,1.483
0.28440,1.490
0.28571,1.498
0.28704,1.505
0.28837,1.512
0.28972,1.519
0.29108,1.526
0.29245,1.533
0.29384,1.538
0.29524,1.543
0.29665,1.546
0.29808,1.548
0.29952,1.547
0.30097,1.542
0.30244,1.533
0.30392,1.517
0.30542,1.492
0.30693,1.455
0.30846,1.404
0.31000,1.338
0.31156,1.267
0.31313,1.213
0.31472,1.145
0.31633,1.064
0.31795,0.960
0.31959,0.853
0.32124,0.752
0.32292,0.658
0.32461,0.574
0.32632,0.503
0.32804,0.447
0.32979,0.404
0.33155,0.372
0.33333,0.348
0.33514,0.329
0.33696,0.315
0.33880,0.304
0.34066,0.295
0.34254,0.288
0.34444,0.283
0.34637,0.278
0.34831,0.274
0.35028,0.271
0.35227,0.268
0.35429,0.265
0.35632,0.263
0.35838,0.260
0.36047,0.258
0.36257,0.256
0.36471,0.253
0.36686,0.251
0.36905,0.248
0.37126,0.245
0.37349,0.242
0.37576,0.238
0.37805,0.235
0.38037,0.231
0.38272,0.227
0.38509,0.222
0.38750,0.218
0.38994,0.213
0.39241,0.208
0.39490,0.203
0.39744,0.198
0.40000,0.193
0.40260,0.188
0.40523,0.183
0.40789,0.178
0.41060,0.173
0.41333,0.168
0.41611,0.163
0.41892,0.158
0.42177,0.153
0.42466,0.148
0.42759,0.144
0.43056,0.139
0.43357,0.135
0.43662,0.131
0.43972,0.127
0.44286,0.123
0.44604,0.120
0.44928,0.116
0.45255,0.113
0.45588,0.110
0.45926,0.107
0.46269,0.104
0.46617,0.101
0.46970,0.099
0.47328,0.096
0.47692,0.094
0.48062,0.092
0.48438,0.090
0.48819,0.088
0.49206,0.086
0.49600,0.085
0.50000,0.083
0.50407,0.082
0.50820,0.080
0.51240,0.079
0.51667,0.078
0.52101,0.077
0.52542,0.076
0.52991,0.075
0.53448,0.074
0.53913,0.074
0.54386,0.073
0.54867,0.072
0.55357,0.072
0.55856,0.072
0.56364,0.071
0.56881,0.071
0.57407,0.071
0.57944,0.071
0.58491,0.071
0.59048,0.071
0.59615,0.071
0.60194,0.071
0.60784,0.071
0.61386,0.071
0.62000,0.071
0.62626,0.072
0.63265,0.072
0.63918,0.073
0.64583,0.073
0.65263,0.074
0.65957,0.074
0.66667,0.075
0.67391,0.076
0.68132,0.076
0.68889,0.077
0.69663,0.078
0.70455,0.079
0.71264,0.080
0.72093,0.081
0.72941,0.083
0.73810,0.084
0.74699,0.085
0.75610,0.087
0.76543,0.088
0.77500,0.090
0.78481,0.091
0.79487,0.093
0.80519,0.095
0.81579,0.097
0.82667,0.099
0.83784,0.101
0.84932,0.103
0.86111,0.106
0.87324,0.108
0.88571,0.111
0.89855,0.113
0.91176,0.116
0.92537,0.119
0.93939,0.122
0.95385,0.126
0.96875,0.129
0.98413,0.133
1.0000,0.137
1.0164,0.141
1.0333,0.145
1.0508,0.149
1.0690,0.154
1.0877,0.159
1.1071,0.165
1.1273,0.170
1.1481,0.176
1.1698,0.182
1.1923,0.189
1.2157,0.196
1.2400,0.204
