wl,k
5.000,0.001
5.005,0.001
5.010,0.001
5.015,0.001
5.020,0.001
5.025,0.001
5.030,0.001
5.035,0.001
5.040,0.001
5.045,0.001
5.051,0.001
5.056,0.001
5.061,0.001
5.066,0.001
5.071,0.001
5.076,0.001
5.081,0.001
5.086,0.001
5.092,0.001
5.097,0.001
5.102,0.001
5.107,0.001
5.112,0.001
5.118,0.001
5.123,0.001
5.128,0.001
5.133,0.001
5.139,0.001
5.144,0.001
5.149,0.001
5.155,0.001
5.160,0.001
5.165,0.001
5.171,0.001
5.176,0.001
5.181,0.001
5.187,0.001
5.192,0.001
5.198,0.001
5.203,0.001
5.208,0.001
5.214,0.001
5.219,0.001
5.225,0.001
5.230,0.001
5.236,0.001
5.241,0.001
5.247,0.001
5.252,0.001
5.258,0.001
5.263,0.001
5.269,0.001
5.274,0.001
5.280,0.001
5.285,0.001
5.291,0.001
5.297,0.001
5.302,0.001
5.308,0.001
5.313,0.001
5.319,0.001
5.325,0.001
5.330,0.001
5.336,0.001
5.342,0.001
5.348,0.001
5.353,0.001
5.359,0.001
5.365,0.001
5.371,0.001
5.376,0.001
5.382,0.002
5.388,0.002
5.394,0.002
5.400,0.002
5.405,0.002
5.411,0.002
5.417,0.002
5.423,0.002
5.429,0.002
5.435,0.002
5.441,0.002
5.447,0.002
5.453,0.002
5.459,0.002
5.464,0.002
5.470,0.002
5.476,0.002
5.482,0.002
5.488,0.002
5.495,0.002
5.501,0.002
5.507,0.002
5.513,0.002
5.519,0.002
5.525,0.002
5.531,0.002
5.537,0.002
5.543,0.002
5.549,0.002
5.556,0.002
5.562,0.002
5.568,0.002
5.574,0.002
5.580,0.002
5.587,0.002
5.593,0.002
5.599,0.002
5.605,0.002
5.612,0.002
5.618,0.002
5.624,0.002
5.631,0.002
5.637,0.002
5.643,0.002
5.650,0.002
5.656,0.002
5.663,0.002
5.669,0.002
5.675,0.002
5.682,0.002
5.688,0.003
5.695,0.003
5.701,0.003
5.708,0.003
5.714,0.003
5.721,0.003
5.727,0.003
5.734,0.003
5.741,0.003
5.747,0.003
5.754,0.003
5.760,0.003
5.767,0.003
5.774,0.003
5.780,0.003
5.787,0.003
5.794,0.003
5.800,0.003
5.807,0.003
5.814,0.003
5.821,0.003
5.828,0.003
5.834,0.003
5.841,0.003
5.848,0.003
5.855,0.003
5.862,0.003
5.869,0.003
5.875,0.003
5.882,0.003
5.889,0.003
5.896,0.003
5.903,0.003
5.910,0.003
5.917,0.004
5.924,0.004
5.931,0.004
5.938,0.004
5.945,0.004
5.952,0.004
5.959,0.004
5.967,0.004
5.974,0.004
5.981,0.004
5.988,0.004
5.995,0.004
6.002,0.004
6.010,0.004
6.017,0.004
6.024,0.004
6.031,0.004
6.039,0.004
6.046,0.004
6.053,0.004
6.061,0.004
6.068,0.004
6.075,0.004
6.083,0.004
6.090,0.004
6.098,0.004
6.105,0.005
6.112,0.005
6.120,0.005
6.127,0.005
6.135,0.005
6.143,0.005
6.150,0.005
6.158,0.005
6.165,0.005
6.173,0.005
6.180,0.005
6.188,0.005
6.196,0.005
6.203,0.005
6.211,0.005
6.219,0.005
6.227,0.005
6.234,0.005
6.242,0.005
6.250,0.005
6.258,0.006
6.266,0.006
6.274,0.006
6.281,0.006
6.289,0.006
6.297,0.006
6.305,0.006
6.313,0.006
6.321,0.006
6.329,0.006
6.337,0.006
6.345,0.006
6.353,0.006
6.361,0.006
6.369,0.006
6.378,0.006
6.386,0.006
6.394,0.007
6.402,0.007
6.410,0.007
6.418,0.007
6.427,0.007
6.435,0.007
6.443,0.007
6.452,0.007
6.460,0.007
6.468,0.007
6.477,0.007
6.485,0.007
6.494,0.007
6.502,0.007
6.510,0.007
6.519,0.008
6.527,0.008
6.536,0.008
6.545,0.008
6.553,0.008
6.562,0.008
6.570,0.008
6.579,0.008
6.588,0.008
6.596,0.008
6.605,0.008
6.614,0.008
6.623,0.008
6.631,0.009
6.640,0.009
6.649,0.009
6.658,0.009
6.667,0.009
6.676,0.009
6.684,0.009
6.693,0.009
6.702,0.009
6.711,0.009
6.720,0.009
6.729,0.010
6.739,0.010
6.748,0.010
6.757,0.010
6.766,0.010
6.775,0.010
6.784,0.010
6.793,0.010
6.803,0.010
6.812,0.010
6.821,0.010
6.831,0.011
6.840,0.011
6.849,0.011
6.859,0.011
6.868,0.011
6.878,0.011
6.887,0.011
6.897,0.011
6.906,0.011
6.916,0.012
6.925,0.012
6.935,0.012
6.944,0.012
6.954,0.012
6.964,0.012
6.974,0.012
6.983,0.012
6.993,0.013
7.003,0.013
7.013,0.013
7.022,0.013
7.032,0.013
7.042,0.013
7.052,0.013
7.062,0.013
7.072,0.014
7.082,0.014
7.092,0.014
7.102,0.014
7.112,0.014
7.123,0.014
7.133,0.015
7.143,0.015
7.153,0.015
7.163,0.015
7.174,0.015
7.184,0.015
7.194,0.015
7.205,0.016
7.215,0.016
7.225,0.016
7.236,0.016
7.246,0.016
7.257,0.017
7.267,0.017
7.278,0.017
7.289,0.017
7.299,0.017
7.310,0.017
7.321,0.018
7.331,0.018
7.342,0.018
7.353,0.018
7.364,0.019
7.375,0.019
7.386,0.019
7.396,0.019
7.407,0.019
7.418,0.020
7.429,0.020
7.440,0.020
7.452,0.021
7.463,0.021
7.474,0.021
7.485,0.021
7.496,0.022
7.508,0.022
7.519,0.022
7.530,0.023
7.541,0.023
7.553,0.023
7.564,0.024
7.576,0.024
7.587,0.025
7.599,0.025
7.610,0.026
7.622,0.026
7.634,0.027
7.645,0.028
7.657,0.028
7.669,0.029
7.680,0.030
7.692,0.031
7.704,0.032
7.716,0.033
7.728,0.034
7.740,0.035
7.752,0.037
7.764,0.039
7.776,0.040
7.788,0.042
7.800,0.044
7.812,0.047
7.825,0.049
7.837,0.052
7.849,0.055
7.862,0.059
7.874,0.062
7.886,0.067
7.899,0.071
7.911,0.076
7.924,0.082
7.937,0.088
7.949,0.095
7.962,0.102
7.974,0.110
7.987,0.119
8.000,0.129
8.013,0.139
8.026,0.150
8.039,0.163
8.052,0.176
8.065,0.190
8.078,0.205
8.091,0.220
8.104,0.237
8.117,0.254
8.130,0.271
8.143,0.289
8.157,0.307
8.170,0.326
8.183,0.344
8.197,0.362
8.210,0.380
8.224,0.397
8.237,0.414
8.251,0.430
8.264,0.446
8.278,0.461
8.292,0.476
8.306,0.490
8.319,0.504
8.333,0.516
8.347,0.529
8.361,0.541
8.375,0.552
8.389,0.563
8.403,0.573
8.418,0.583
8.432,0.593
8.446,0.603
8.460,0.612
8.475,0.621
8.489,0.631
8.503,0.640
8.518,0.650
8.532,0.660
8.547,0.671
8.562,0.683
8.576,0.695
8.591,0.709
8.606,0.723
8.621,0.739
8.636,0.756
8.651,0.775
8.666,0.796
8.681,0.819
8.696,0.843
8.711,0.869
8.726,0.897
8.741,0.927
8.757,0.959
8.772,0.992
8.787,1.026
8.803,1.062
8.818,1.100
8.834,1.138
8.850,1.177
8.865,1.217
8.881,1.257
8.897,1.298
8.913,1.339
8.929,1.380
8.945,1.421
8.961,1.461
8.977,1.502
8.993,1.541
9.009,1.580
9.025,1.618
9.042,1.655
9.058,1.691
9.074,1.726
9.091,1.758
9.107,1.790
9.124,1.819
9.141,1.847
9.158,1.872
9.174,1.895
9.191,1.916
9.208,1.934
9.225,1.950
9.242,1.963
9.259,1.973
9.276,1.980
9.294,1.985
9.311,1.986
9.328,1.985
9.346,1.980
9.363,1.972
9.381,1.962
9.398,1.948
9.416,1.931
9.434,1.911
9.452,1.889
9.470,1.863
9.488,1.835
9.506,1.804
9.524,1.771
9.542,1.735
9.560,1.697
9.579,1.656
9.597,1.614
9.615,1.570
9.634,1.525
9.653,1.478
9.671,1.429
9.690,1.380
9.709,1.330
9.728,1.279
9.747,1.228
9.766,1.176
9.785,1.124
9.804,1.073
9.823,1.021
9.843,0.970
9.862,0.920
9.881,0.871
9.901,0.822
9.921,0.774
9.940,0.728
9.960,0.683
9.980,0.639
10.000,0.597
10.020,0.556
10.040,0.518
10.060,0.480
10.081,0.445
10.101,0.411
10.121,0.379
10.142,0.349
10.163,0.321
10.183,0.295
10.204,0.270
10.225,0.247
10.246,0.226
10.267,0.206
10.288,0.188
10.309,0.171
10.331,0.156
10.352,0.143
10.373,0.130
10.395,0.119
10.417,0.109
10.438,0.100
10.460,0.092
10.482,0.085
10.504,0.079
10.526,0.074
10.549,0.069
10.571,0.065
10.593,0.062
10.616,0.059
10.638,0.057
10.661,0.055
10.684,0.053
10.707,0.052
10.730,0.051
10.753,0.050
10.776,0.049
10.799,0.049
10.823,0.049
10.846,0.049
10.870,0.049
10.893,0.049
10.917,0.049
10.941,0.049
10.965,0.050
10.989,0.050
11.013,0.051
11.038,0.051
11.062,0.052
11.086,0.053
11.111,0.054
11.136,0.055
11.161,0.056
11.186,0.057
11.211,0.058
11.236,0.060
11.261,0.062
11.287,0.064
11.312,0.066
11.338,0.068
11.364,0.071
11.390,0.074
11.416,0.078
11.442,0.082
11.468,0.087
11.494,0.092
11.521,0.097
