wl,n
5.000,1.281
5.005,1.281
5.010,1.280
5.015,1.280
5.020,1.280
5.025,1.280
5.030,1.279
5.035,1.279
5.040,1.279
5.045,1.279
5.051,1.278
5.056,1.278
5.061,1.278
5.066,1.277
5.071,1.277
5.076,1.277
5.081,1.277
5.086,1.276
5.092,1.276
5.097,1.276
5.102,1.275
5.107,1.275
5.112,1.275
5.118,1.275
5.123,1.274
5.128,1.274
5.133,1.274
5.139,1.273
5.144,1.273
5.149,1.273
5.155,1.272
5.160,1.272
5.165,1.272
5.171,1.271
5.176,1.271
5.181,1.271
5.187,1.271
5.192,1.270
5.198,1.270
5.203,1.270
5.208,1.269
5.214,1.269
5.219,1.269
5.225,1.268
5.230,1.268
5.236,1.268
5.241,1.267
5.247,1.267
5.252,1.267
5.258,1.266
5.263,1.266
5.269,1.266
5.274,1.265
5.280,1.265
5.285,1.265
5.291,1.264
5.297,1.264
5.302,1.264
5.308,1.263
5.313,1.263
5.319,1.263
5.325,1.262
5.330,1.262
5.336,1.261
5.342,1.261
5.348,1.261
5.353,1.260
5.359,1.260
5.365,1.260
5.371,1.259
5.376,1.259
5.382,1.259
5.388,1.258
5.394,1.258
5.400,1.257
5.405,1.257
5.411,1.257
5.417,1.256
5.423,1.256
5.429,1.255
5.435,1.255
5.441,1.255
5.447,1.254
5.453,1.254
5.459,1.254
5.464,1.253
5.470,1.253
5.476,1.252
5.482,1.252
5.488,1.251
5.495,1.251
5.501,1.251
5.507,1.250
5.513,1.250
5.519,1.249
5.525,1.249
5.531,1.249
5.537,1.248
5.543,1.248
5.549,1.247
5.556,1.247
5.562,1.246
5.568,1.246
5.574,1.246
5.580,1.245
5.587,1.245
5.593,1.244
5.599,1.244
5.605,1.243
5.612,1.243
5.618,1.242
5.624,1.242
5.631,1.241
5.637,1.241
5.643,1.240
5.650,1.240
5.656,1.240
5.663,1.239
5.669,1.239
5.675,1.238
5.682,1.238
5.688,1.237
5.695,1.237
5.701,1.236
5.708,1.236
